Account,total_pnl,win_rate,profit_factor
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,401309.434693,0.3780734741105004,32.14950504021877
0x513b8629fe877bb581bf244e326a047b249c4ff1,381330.49405000004,0.5542312276519666,13.221549162004978
0x083384f897ee0f19899168e3b1bec365f52a9012,125650.11674000001,0.5819477434679335,inf
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,97380.090931,0.7529761904761905,inf
0x420ab45e0bd8863569a5efbb9c05d91f40624641,74293.663505,0.5208333333333334,inf
0x430f09841d65beb3f27765503d0f850b8bce7713,58961.37973,0.5074626865671642,inf
0xbaaaf6571ab7d571043ff1e313a9609a10637864,57368.780126000005,0.47096018735363,inf
0x8170715b3b381dffb7062c0298972d4727a0a63b,47610.460743999996,0.30655391120507397,10.377155711284402
0x4f93fead39b70a1824f981a54d4e55b278e9f760,45514.323221,0.4267815191855912,1.8189814823926906
0x2c229d22b100a7beb69122eed721cee9b24011dd,42292.843076000005,0.5753694581280788,9.409516890455256
